mean_CRS,mean_R_final,pct_reduction_vs_classical,pct_diff_vs_ufmb,mean_ldf_active,disc_correction_pct,ampl_correction_pct,n_neutral,n_disc,n_ampl
16.562625,16.975125,56.735842083800605,-8.539197198275863,1.082672,-9.207030726062284,30.540905954880433,55,14,11
18.362375,18.573124999999997,64.3786979411398,0.07071659482757932,1.0473434782608695,-12.781835310385796,23.861642751305247,57,12,11
19.771250000000002,20.299,47.688214128099304,9.369612068965521,1.05631,-11.413177175034852,22.636444613029123,50,15,15
19.482875,19.959875,56.189193193478815,7.542429956896561,1.0370370370370372,-8.764183466300675,24.867908759134387,53,17,10
18.910249999999998,19.207375,52.96661789643162,3.488011853448277,1.04,-11.03084312853753,29.898760467241257,50,19,11
17.66425,18.094749999999998,51.02909336941814,-2.5067349137931094,1.0410307692307692,-9.697614375139512,26.221970407828117,54,16,10
17.079,17.403125,58.112576305963984,-6.233162715517239,1.0065382352941175,-12.618694693020426,25.005050108963417,46,22,12
21.846375000000002,22.253125000000004,50.107757714695666,19.898302801724167,1.04365,-9.43925546430712,22.818455680873367,52,16,12
18.499624999999998,18.222249999999995,52.94569539844034,-1.8197737068965696,0.997617857142857,-12.510815479752683,25.673158472641745,52,19,9
17.21725,17.420625,52.89956706737999,-6.13887392241378,0.9744777777777779,-13.452633791150886,23.31597757347683,53,19,8
18.4685,18.725,51.768902855229435,0.8890086206896698,1.0245206896551724,-12.807412786414842,24.067915351612243,51,17,12
18.051125,18.534375,52.383475596832305,-0.13806573275860998,1.0509032258064517,-10.721246656554309,24.285546324019748,49,17,14
17.650375,17.476374999999997,52.169153241670465,-5.838496767241387,0.9912484848484848,-14.109581921318517,19.503892584232176,47,20,13
16.314875,16.854125,57.002726533475766,-9.19113685344827,1.0470588235294116,-11.232633984173328,22.644111242095313,46,18,16
15.982249999999999,16.49075,55.99987993236191,-11.14897629310345,1.0069800000000002,-10.948820189663758,22.959980265244308,45,23,12
18.666625,18.608125,54.26082681701565,0.2592941810344958,1.039995,-16.161221203743448,28.656956253038075,60,11,9
17.20425,17.483249999999998,56.7044008803618,-5.801454741379314,1.012351851851852,-11.52157067623672,22.932317076127852,53,17,10
